Timestamp,PlaybackTime,VideoFrame,UnitQuaternion.x,UnitQuaternion.y,UnitQuaternion.z,UnitQuaternion.w,HmdPosition.x,HmdPosition.y,HmdPosition.z,EulerYaw,EulerPitch,EulerRoll,VelYaw,VelPitch,VelRoll
1.3259,0.000,0,-0.019785,0.077373,0.054678,0.995305,-0.074799,1.084580,-0.236515,8.7445,-2.7423,6.0791,19.7492,18.1509,2.2739
1.3396,0.000,0,-0.017644,0.079578,0.055062,0.995150,-0.074449,1.084276,-0.236287,9.0091,-2.5150,6.1358,19.3530,16.6272,4.1441
1.3536,0.000,0,-0.015670,0.081825,0.055771,0.994962,-0.074080,1.083987,-0.236058,9.2770,-2.3102,6.2291,19.0823,14.5913,6.6449
1.3673,0.000,0,-0.013721,0.084013,0.056806,0.994750,-0.073711,1.083694,-0.235831,9.5377,-2.1115,6.3605,19.0698,14.5357,9.6169
1.3817,0.000,0,-0.011777,0.086234,0.057704,0.994533,-0.073341,1.083420,-0.235632,9.8030,-1.9128,6.4773,18.4184,13.7924,8.1030
1.3953,0.000,0,-0.009901,0.088590,0.058417,0.994304,-0.073039,1.083161,-0.235439,10.0841,-1.7214,6.5729,20.7437,14.1216,7.0547
1.4097,0.000,0,-0.007993,0.090924,0.058796,0.994089,-0.072762,1.082948,-0.235272,10.3638,-1.5233,6.6316,19.4158,13.7521,4.0769
1.4230,0.000,0,-0.006154,0.093267,0.059063,0.993869,-0.072491,1.082710,-0.235110,10.6444,-1.3323,6.6777,21.0907,14.3601,3.4690
1.4370,0.000,0,-0.004341,0.095521,0.059442,0.993642,-0.072174,1.082466,-0.234962,10.9148,-1.1450,6.7376,19.2635,13.3413,4.2640
1.4507,0.000,0,-0.002571,0.097647,0.059971,0.993409,-0.071836,1.082214,-0.234816,11.1703,-0.9638,6.8151,18.6892,13.2545,5.6680
1.4642,0.000,0,-0.000872,0.099891,0.060454,0.993160,-0.071528,1.081976,-0.234684,11.4393,-0.7913,6.8874,19.8476,12.7275,5.3335
1.4792,0.000,0,0.000648,0.102088,0.060725,0.992920,-0.071197,1.081754,-0.234557,11.7021,-0.6366,6.9342,17.5022,10.3049,3.1186
1.4928,0.000,0,0.001865,0.104310,0.060766,0.992685,-0.070891,1.081548,-0.234427,11.9658,-0.5142,6.9519,19.4664,9.0360,1.3107
1.5074,1.200,36,0.002904,0.106437,0.060569,0.992469,-0.070572,1.081404,-0.234305,12.2178,-0.4085,6.9410,17.2029,7.2146,-0.7482
1.5203,1.200,36,0.003639,0.108610,0.060088,0.992260,-0.070330,1.081318,-0.234195,12.4730,-0.3340,6.8943,19.9079,5.8071,-3.6433
1.5348,1.233,37,0.003866,0.110711,0.059347,0.992072,-0.070065,1.081275,-0.234072,12.7166,-0.3134,6.8120,16.7722,1.4181,-5.6675
1.5487,1.233,37,0.003757,0.112768,0.058281,0.991904,-0.069797,1.081257,-0.233926,12.9530,-0.3261,6.6883,16.9864,-0.9123,-8.8839
1.5612,1.233,37,0.003453,0.114561,0.057324,0.991755,-0.069518,1.081262,-0.233777,13.1578,-0.3601,6.5746,16.4466,-2.7255,-9.1316
1.5767,1.267,38,0.003163,0.116019,0.056509,0.991633,-0.069254,1.081261,-0.233659,13.3242,-0.3919,6.4773,10.7323,-2.0532,-6.2767
1.5900,1.267,38,0.003142,0.117235,0.055756,0.991533,-0.069009,1.081239,-0.233566,13.4643,-0.3920,6.3907,10.5325,-0.0069,-6.5096
1.6036,1.300,39,0.003307,0.118269,0.055094,0.991447,-0.068756,1.081234,-0.233455,13.5848,-0.3710,6.3171,8.8102,1.5379,-5.3846
1.6178,1.300,39,0.003729,0.119184,0.054295,0.991380,-0.068568,1.081178,-0.233406,13.6931,-0.3179,6.2315,7.6492,3.7478,-6.0472
1.6322,1.333,40,0.004171,0.120020,0.053518,0.991319,-0.068421,1.081103,-0.233365,13.7925,-0.2623,6.1487,6.9013,3.8602,-5.7447
1.6461,1.333,40,0.004594,0.120741,0.052907,0.991263,-0.068301,1.081036,-0.233314,13.8782,-0.2102,6.0848,6.1613,3.7456,-4.5941
1.6588,1.333,40,0.005028,0.121242,0.052638,0.991214,-0.068182,1.080972,-0.233262,13.9387,-0.1602,6.0600,4.7610,3.9327,-1.9528
1.6742,1.367,41,0.005472,0.121645,0.052534,0.991167,-0.068048,1.080899,-0.233225,13.9879,-0.1108,6.0543,3.1981,3.2163,-0.3665
1.6869,1.367,41,0.005922,0.121902,0.052633,0.991128,-0.067920,1.080829,-0.233186,14.0202,-0.0626,6.0718,2.5473,3.7957,1.3777
1.7000,1.400,42,0.006405,0.122072,0.052770,0.991097,-0.067800,1.080760,-0.233142,14.0428,-0.0107,6.0942,1.7304,3.9696,1.7139
1.7152,1.400,42,0.006912,0.122142,0.052905,0.991078,-0.067701,1.080683,-0.233099,14.0539,0.0445,6.1167,0.7296,3.6180,1.4745
1.7286,1.400,42,0.007379,0.122148,0.053013,0.991068,-0.067611,1.080585,-0.233057,14.0576,0.0960,6.1356,0.2717,3.8392,1.4078
1.7430,1.433,43,0.007775,0.122112,0.053063,0.991067,-0.067530,1.080488,-0.233016,14.0558,0.1405,6.1468,-0.1224,3.0894,0.7776
1.7566,1.433,43,0.008132,0.121941,0.053089,0.991083,-0.067476,1.080391,-0.233006,14.0384,0.1817,6.1548,-1.2840,3.0373,0.5867
1.7703,1.467,44,0.008444,0.121754,0.053012,0.991108,-0.067433,1.080301,-0.232998,14.0188,0.2193,6.1504,-1.4362,2.7549,-0.3207
1.7843,1.467,44,0.008743,0.121548,0.052908,0.991136,-0.067379,1.080219,-0.232983,13.9969,0.2561,6.1427,-1.5584,2.6166,-0.5502
1.7987,1.500,45,0.009028,0.121396,0.052920,0.991151,-0.067287,1.080152,-0.232938,13.9812,0.2892,6.1480,-1.0923,2.2980,0.3710
1.8127,1.500,45,0.009167,0.121356,0.053327,0.991133,-0.067173,1.080088,-0.232884,13.9775,0.2995,6.1963,-0.2587,0.7372,3.4376
1.8258,1.500,45,0.009414,0.121461,0.054193,0.991071,-0.067019,1.080040,-0.232839,13.9915,0.3149,6.2984,1.0676,1.1773,7.8180
1.8402,1.533,46,0.009596,0.121710,0.055621,0.990960,-0.066811,1.080023,-0.232791,14.0218,0.3140,6.4638,2.1022,-0.0626,11.4808
1.8540,1.533,46,0.009875,0.122239,0.057537,0.990782,-0.066574,1.080040,-0.232754,14.0852,0.3152,6.6861,4.5971,0.0887,16.1204
1.8673,1.567,47,0.010052,0.122953,0.059789,0.990559,-0.066309,1.080086,-0.232712,14.1694,0.2987,6.9454,6.3272,-1.2435,19.4843
1.8815,1.567,47,0.010360,0.123810,0.062746,0.990266,-0.066060,1.080185,-0.232668,14.2712,0.2854,7.2869,7.1940,-0.9360,24.1201
1.8951,1.567,47,0.010777,0.124791,0.066040,0.989924,-0.065790,1.080272,-0.232656,14.3884,0.2781,7.6685,8.5691,-0.5333,27.9096
1.9099,1.600,48,0.011490,0.125857,0.069223,0.989564,-0.065509,1.080323,-0.232718,14.5178,0.3046,8.0418,8.7622,1.7920,25.2718
1.9232,1.600,48,0.012279,0.127466,0.071984,0.989151,-0.065273,1.080324,-0.232785,14.7107,0.3404,8.3685,14.4928,2.6937,24.5523
1.9370,1.633,49,0.013208,0.129610,0.074049,0.988708,-0.065011,1.080305,-0.232904,14.9666,0.3967,8.6184,18.5519,4.0772,18.1200
1.9503,1.633,49,0.014271,0.132266,0.075510,0.988231,-0.064698,1.080258,-0.233071,15.2828,0.4716,8.8021,23.7665,5.6337,13.8072
1.9641,1.667,50,0.015441,0.135310,0.076435,0.987730,-0.064361,1.080187,-0.233280,15.6448,0.5625,8.9272,26.2419,6.5893,9.0678
1.9795,1.667,50,0.016624,0.138360,0.077126,0.987234,-0.064065,1.080129,-0.233508,16.0079,0.6578,9.0266,23.6120,6.1960,6.4658
1.9927,1.667,50,0.017611,0.141132,0.077324,0.986809,-0.063806,1.080045,-0.233827,16.3370,0.7410,9.0671,24.9624,6.3091,3.0707
2.0067,1.700,51,0.018580,0.143534,0.077110,0.986462,-0.063589,1.079984,-0.234190,16.6233,0.8321,9.0608,20.3901,6.4872,-0.4515
2.0203,1.700,51,0.019452,0.145474,0.076330,0.986221,-0.063422,1.079890,-0.234528,16.8547,0.9259,8.9886,17.0811,6.9269,-5.3308
2.0348,1.733,52,0.020246,0.147197,0.074930,0.986057,-0.063307,1.079775,-0.234862,17.0598,1.0238,8.8446,14.1171,6.7394,-9.9118
2.0485,1.733,52,0.020937,0.148782,0.072742,0.985969,-0.063200,1.079663,-0.235153,17.2470,1.1254,8.6096,13.6953,7.4296,-17.1838
2.0614,1.733,52,0.021489,0.150338,0.070146,0.985909,-0.063103,1.079567,-0.235468,17.4289,1.2194,8.3263,14.0556,7.2679,-21.9007
2.0767,1.767,53,0.022003,0.151527,0.067106,0.985927,-0.063022,1.079461,-0.235799,17.5671,1.3208,7.9916,9.0569,6.6418,-21.9321
2.0903,1.767,53,0.022426,0.152540,0.063436,0.986004,-0.063025,1.079336,-0.236106,17.6829,1.4251,7.5839,8.4690,7.6317,-29.8204
2.1034,1.800,54,0.022753,0.153009,0.059293,0.986182,-0.063048,1.079208,-0.236366,17.7339,1.5319,7.1204,3.9042,8.1732,-35.4833
2.1174,1.800,54,0.023020,0.153199,0.054240,0.986437,-0.063255,1.078998,-0.236650,17.7501,1.6501,6.5522,1.1591,8.4225,-40.4753
2.1310,1.833,55,0.023199,0.153094,0.048688,0.986739,-0.063477,1.078838,-0.236870,17.7300,1.7693,5.9256,-1.4863,8.7960,-46.2453
2.1456,1.833,55,0.023282,0.152797,0.042777,0.987057,-0.063717,1.078686,-0.237057,17.6857,1.8847,5.2563,-3.0271,7.8777,-45.6910
2.1591,1.833,55,0.023366,0.152313,0.037109,0.987359,-0.063846,1.078509,-0.237234,17.6195,1.9964,4.6142,-4.9298,8.3155,-47.8218
2.1744,1.867,56,0.023714,0.151738,0.031781,0.987625,-0.063957,1.078318,-0.237410,17.5439,2.1317,4.0151,-4.9120,8.7961,-38.9488
2.1874,1.867,56,0.024284,0.151160,0.027326,0.987833,-0.064062,1.078078,-0.237574,17.4700,2.2761,3.5189,-5.7117,11.1642,-38.3505
2.2004,1.900,57,0.025053,0.150545,0.023904,0.987997,-0.064146,1.077823,-0.237705,17.3940,2.4248,3.1430,-5.8164,11.3825,-28.7812
